name,position,record,team,year
Mike Mularkey,Offensive Coordinator,13-3-0,atl,2011
Brian VanGorder,Defensive Coordinator,13-3-0,atl,2011
Mike Smith,Head Coach,10-6-0,atl,2011
Tim Lewis,Secondary,10-6-0,atl,2012
Terry Robiskie,Wide Receivers,10-6-0,atl,2012
Mike Nolan,Defensive Coordinator,10-6-0,atl,2012
Dirk Koetter,Offensive Coordinator,10-6-0,atl,2012
Mike Smith,Head Coach,13-3-0,atl,2012
Tim Lewis,Secondary,13-3-0,atl,2013
Terry Robiskie,Asst. Head Coach/Wide Receivers,13-3-0,atl,2013
Mike Smith,Head Coach,4-12-0,atl,2013
Mike Nolan,Defensive Coordinator,4-12-0,atl,2013
Dirk Koetter,Offensive Coordinator,4-12-0,atl,2013
Tim Lewis,Secondary,4-12-0,atl,2014
Terry Robiskie,Asst. Head Coach/Wide Receivers,4-12-0,atl,2014
Mike Tice,Offensive Line,4-12-0,atl,2014
Mike Nolan,Defensive Coordinator,4-12-0,atl,2014
Mike Smith,Head Coach,6-10-0,atl,2014
Dirk Koetter,Offensive Coordinator,6-10-0,atl,2014
Kyle Shanahan,Offensive Coordinator,6-10-0,atl,2015
Matt LaFleur,Quarterbacks,6-10-0,atl,2015
Richard Smith,Defensive Coordinator,6-10-0,atl,2015
Dan Quinn,Head Coach,8-8-0,atl,2015
Kyle Shanahan,Offensive Coordinator,8-8-0,atl,2016
Dan Quinn,Head Coach,11-5-0,atl,2016
Richard Smith,Defensive Coordinator,11-5-0,atl,2016
Aden Durde,Coaching Intern,11-5-0,atl,2016
Marquand Manuel,Defensive Coordinator,11-5-0,atl,2017
Dan Quinn,Head Coach,10-6-0,atl,2017
Raheem Morris,Asst. HC/WR Coach/Passing Game Coord.,10-6-0,atl,2017
Justin Outten,Offensive Assistant,10-6-0,atl,2017
Jeff Ulbrich,Linebackers,10-6-0,atl,2017
Steve Sarkisian,Offensive Coordinator,10-6-0,atl,2017
Dan Quinn,Head Coach,7-9-0,atl,2018
Aden Durde,Defensive Assistant,7-9-0,atl,2018
Marquand Manuel,Defensive Coordinator,7-9-0,atl,2018
Steve Sarkisian,Offensive Coordinator,7-9-0,atl,2018
Dan Quinn,Head Coach,7-9-0,atl,2019
Aden Durde,Defensive Assistant,7-9-0,atl,2019
Dirk Koetter,Offensive Coordinator,7-9-0,atl,2019
Dan Quinn,Defensive Coordinator,7-9-0,atl,2019
Dirk Koetter,Offensive Coordinator,7-9-0,atl,2020
Dan Quinn,Head Coach,0-5-0,atl,2020
Raheem Morris,Defensive Coordinator,0-5-0,atl,2020
Jeff Ulbrich,Defensive Coordinator,0-5-0,atl,2020
Aden Durde,Outside Linebackers,0-5-0,atl,2020
Arthur Smith,Head Coach,7-10-0,atl,2021
Frank Bush,Linebackers,7-10-0,atl,2021
Ted Monachino,Outside Linebackers,7-10-0,atl,2021
Dave Ragone,Offensive Coordinator,7-10-0,atl,2021
Dean Pees,Defensive Coordinator,7-10-0,atl,2021
Arthur Smith,Head Coach,7-10-0,atl,2022
Frank Bush,Linebackers,7-10-0,atl,2022
Ted Monachino,Outside Linebackers,7-10-0,atl,2022
Dave Ragone,Offensive Coordinator,7-10-0,atl,2022
Dean Pees,Defensive Coordinator,7-10-0,atl,2022
Arthur Smith,Head Coach,7-10-0,atl,2023
Frank Bush,Linebackers,7-10-0,atl,2023
Jerry Gray,Assistant HC/Defense,7-10-0,atl,2023
Ryan Nielsen,Defensive Coordinator,7-10-0,atl,2023
Dave Ragone,Offensive Coordinator,7-10-0,atl,2023
Marvin Lewis,Defensive Coordinator,7-10-0,rav,1996
Ted Marchibroda,Head Coach,4-12-0,rav,1996
Maxie Baughan,Linebackers,4-12-0,rav,1996
Ted Marchibroda,Head Coach,6-9-1,rav,1997
Maxie Baughan,Linebackers,6-9-1,rav,1997
Jim Schwartz,Defensive Assistant,6-9-1,rav,1997
Ken Whisenhunt,Tight Ends,6-9-1,rav,1997
Marvin Lewis,Defensive Coordinator,6-9-1,rav,1997
Ted Marchibroda,Head Coach,6-10-0,rav,1998
Maxie Baughan,Linebackers,6-10-0,rav,1998
Jim Schwartz,Defensive Assistant,6-10-0,rav,1998
Ken Whisenhunt,Tight Ends,6-10-0,rav,1998
Marvin Lewis,Defensive Coordinator,6-10-0,rav,1998
Jim Colletto,Offensive Line,6-10-0,rav,1999
Marvin Lewis,Defensive Coordinator,6-10-0,rav,1999
Brian Billick,Head Coach,8-8-0,rav,1999
Matt Cavanaugh,Offensive Coordinator,8-8-0,rav,1999
Jim Colletto,Offensive Line,8-8-0,rav,2000
Marvin Lewis,Defensive Coordinator,8-8-0,rav,2000
Brian Billick,Head Coach,12-4-0,rav,2000
Matt Cavanaugh,Offensive Coordinator,12-4-0,rav,2000
Jim Colletto,Offensive Line,12-4-0,rav,2001
Marvin Lewis,Defensive Coordinator,12-4-0,rav,2001
Brian Billick,Head Coach,10-6-0,rav,2001
Matt Cavanaugh,Offensive Coordinator,10-6-0,rav,2001
Brian Billick,Head Coach,7-9-0,rav,2002
Jim Colletto,Offensive Line,7-9-0,rav,2002
Mike Nolan,Defensive Coordinator,7-9-0,rav,2002
Matt Cavanaugh,Offensive Coordinator,7-9-0,rav,2002
Brian Billick,Head Coach,10-6-0,rav,2003
Jim Colletto,Offensive Line,10-6-0,rav,2003
Mike Nolan,Defensive Coordinator,10-6-0,rav,2003
Matt Cavanaugh,Offensive Coordinator,10-6-0,rav,2003
Jim Colletto,Offensive Line,10-6-0,rav,2004
Brian Billick,Head Coach,9-7-0,rav,2004
Mike Nolan,Defensive Coordinator,9-7-0,rav,2004
Matt Cavanaugh,Offensive Coordinator,9-7-0,rav,2004
Jim Colletto,Offensive Line,9-7-0,rav,2005
Rex Ryan,Defensive Coordinator,9-7-0,rav,2005
Brian Billick,Head Coach,6-10-0,rav,2005
Jim Fassel,Offensive Coordinator,6-10-0,rav,2005
Brian Billick,Head Coach,13-3-0,rav,2006
Rex Ryan,Defensive Coordinator,13-3-0,rav,2006
Jim Fassel,Offensive Coordinator,13-3-0,rav,2006
Vic Fangio,Linebackers,13-3-0,rav,2006
Vic Fangio,Linebackers,13-3-0,rav,2007
Brian Billick,Head Coach,5-11-0,rav,2007
Rick Neuheisel,Offensive Coordinator,5-11-0,rav,2007
Rex Ryan,Defensive Coordinator,5-11-0,rav,2007
Vic Fangio,Linebackers,5-11-0,rav,2008
Rex Ryan,Defensive Coordinator,5-11-0,rav,2008
John Harbaugh,Head Coach,11-5-0,rav,2008
Cam Cameron,Offensive Coordinator,11-5-0,rav,2008
John Harbaugh,Head Coach,9-7-0,rav,2009
Vic Fangio,Linebackers,9-7-0,rav,2009
Greg Mattison,Defensive Coordinator,9-7-0,rav,2009
Cam Cameron,Offensive Coordinator,9-7-0,rav,2009
Jim Hostler,Wide Receivers,9-7-0,rav,2010
Greg Mattison,Defensive Coordinator,9-7-0,rav,2010
John Harbaugh,Head Coach,12-4-0,rav,2010
Cam Cameron,Offensive Coordinator,12-4-0,rav,2010
Chuck Pagano,Defensive Coordinator,12-4-0,rav,2011
Teryl Austin,Secondary,12-4-0,rav,2011
John Harbaugh,Head Coach,12-4-0,rav,2011
Cam Cameron,Offensive Coordinator,12-4-0,rav,2011
John Harbaugh,Head Coach,10-6-0,rav,2012
Teryl Austin,Secondary,10-6-0,rav,2012
Dean Pees,Defensive Coordinator,10-6-0,rav,2012
Jim Caldwell,Offensive Coordinator,10-6-0,rav,2012
Cam Cameron,Offensive Coordinator,10-6-0,rav,2012
Teryl Austin,Secondary,10-6-0,rav,2013
Jim Caldwell,Offensive Coordinator,10-6-0,rav,2013
John Harbaugh,Head Coach,8-8-0,rav,2013
Dean Pees,Defensive Coordinator,8-8-0,rav,2013
John Harbaugh,Head Coach,10-6-0,rav,2014
Juan Castillo,Offensive Line,10-6-0,rav,2014
Gary Kubiak,Offensive Coordinator,10-6-0,rav,2014
Dean Pees,Defensive Coordinator,10-6-0,rav,2014
Juan Castillo,Offensive Line,10-6-0,rav,2015
John Harbaugh,Head Coach,5-11-0,rav,2015
Marc Trestman,Offensive Coordinator,5-11-0,rav,2015
Dean Pees,Defensive Coordinator,5-11-0,rav,2015
Marty Mornhinweg,Offensive Coordinator,5-11-0,rav,2016
Marc Trestman,Offensive Coordinator,5-11-0,rav,2016
John Harbaugh,Head Coach,8-8-0,rav,2016
Dean Pees,Defensive Coordinator,8-8-0,rav,2016
Juan Castillo,Offensive Line,8-8-0,rav,2016
John Harbaugh,Head Coach,9-7-0,rav,2017
Dean Pees,Defensive Coordinator,9-7-0,rav,2017
Marty Mornhinweg,Offensive Coordinator,9-7-0,rav,2017
Joe Cullen,Defensive Line,9-7-0,rav,2017
John Harbaugh,Head Coach,10-6-0,rav,2018
Don Martindale,Defensive Coordinator,10-6-0,rav,2018
Joe Cullen,Defensive Line,10-6-0,rav,2018
Marty Mornhinweg,Offensive Coordinator,10-6-0,rav,2018
Greg Roman,Offensive Coordinator,10-6-0,rav,2019
David Culley,Asst. Head Coach/Wide Receivers/Passing Game Coordinator,10-6-0,rav,2019
Don Martindale,Defensive Coordinator,10-6-0,rav,2019
John Harbaugh,Head Coach,14-2-0,rav,2019
Greg Roman,Offensive Coordinator,14-2-0,rav,2020
Don Martindale,Defensive Coordinator,14-2-0,rav,2020
John Harbaugh,Head Coach,11-5-0,rav,2020
David Culley,Asst. Head Coach/Wide Receivers/Passing Game Coordinator,11-5-0,rav,2020
Don Martindale,Defensive Coordinator,11-5-0,rav,2021
Greg Roman,Offensive Coordinator,11-5-0,rav,2021
John Harbaugh,Head Coach,8-9-0,rav,2021
Rob Ryan,Inside Linebackers,8-9-0,rav,2021
Anthony Weaver,Defensive Line/Def. Run Game Coordinator,8-9-0,rav,2021
John Harbaugh,Head Coach,10-7-0,rav,2022
Greg Roman,Offensive Coordinator,10-7-0,rav,2022
George Godsey,Tight Ends,10-7-0,rav,2022
Zach Orr,Inside Linebackers,10-7-0,rav,2022
Anthony Weaver,Defensive Line/Associate Head Coach,10-7-0,rav,2022
Mike Macdonald,Defensive Coordinator,10-7-0,rav,2022
Mike Macdonald,Defensive Coordinator,10-7-0,rav,2023
George Godsey,Tight Ends,10-7-0,rav,2023
John Harbaugh,Head Coach,13-4-0,rav,2023
Todd Monken,Offensive Coordinator,13-4-0,rav,2023
Bob Dove,Line Coach,13-4-0,buf,1960
Harvey Johnson,Secondary/Kickers,13-4-0,buf,1960
Buster Ramsey,Head Coach,5-8-1,buf,1960
Bob Dove,Line Coach,5-8-1,buf,1961
Harvey Johnson,Secondary/Kickers,5-8-1,buf,1961
Buster Ramsey,Head Coach,6-8-0,buf,1961
Lou Saban,Head Coach,7-6-1,buf,1962
Joe Collier,Defensive Backs,7-6-1,buf,1962
Lou Saban,Head Coach,7-6-1,buf,1963
Herman Ball,Offensive Line,7-6-1,buf,1963
Lou Saban,Head Coach,12-2-0,buf,1964
Joe Collier,Defensive Backs/Linebackers,12-2-0,buf,1964
John Mazur,Offensive Backfield,12-2-0,buf,1964
Jerry Smith,Offensive Line,12-2-0,buf,1964
Joe Collier,Defensive Backs/Linebackers,12-2-0,buf,1965
John Mazur,Offensive Backfield,12-2-0,buf,1965
Jerry Smith,Offensive Line,12-2-0,buf,1965
Lou Saban,Head Coach,10-3-1,buf,1965
John Mazur,Offensive Backfield,10-3-1,buf,1966
Richie McCabe,Defensive Backs,10-3-1,buf,1966
Jerry Smith,Offensive Line,10-3-1,buf,1966
Joe Collier,Head Coach,9-4-1,buf,1966
John Mazur,Offensive Backfield,9-4-1,buf,1967
Richie McCabe,Defensive Backs,9-4-1,buf,1967
Jerry Smith,Offensive Line,9-4-1,buf,1967
Joe Collier,Head Coach,4-10-0,buf,1967
John Mazur,Offensive Backfield,4-10-0,buf,1968
Richie McCabe,Defensive Backs,4-10-0,buf,1968
Joe Collier,Head Coach,0-2-0,buf,1968
John Rauch,Head Coach,4-10-0,buf,1969
Ralph Hawkins,Linebackers,4-10-0,buf,1969
Ray Malavasi,Defensive Line,4-10-0,buf,1969
Ralph Hawkins,Linebackers,4-10-0,buf,1970
Ray Malavasi,Defensive Line,4-10-0,buf,1970
John Rauch,Head Coach,3-10-1,buf,1970
Harvey Johnson,Head Coach,1-13-0,buf,1971
Tom Flores,Quarterbacks,1-13-0,buf,1971
Ralph Hawkins,Linebackers,1-13-0,buf,1971
Richard Urich,Defensive Line,1-13-0,buf,1971
Lou Saban,Head Coach,4-9-1,buf,1972
Jim Dooley,Linebackers,4-9-1,buf,1972
Jim Ringo,Offensive Line,4-9-1,buf,1972
Jim Ringo,Offensive Line,4-9-1,buf,1973
Lou Saban,Head Coach,9-5-0,buf,1973
Jim Ringo,Offensive Line,9-5-0,buf,1974
Lou Saban,Head Coach,9-5-0,buf,1974
Jim Ringo,Offensive Line,9-5-0,buf,1975
Lou Saban,Head Coach,8-6-0,buf,1975
Richie McCabe,Defensive Coordinator,8-6-0,buf,1976
Jim Ringo,Head Coach,0-9-0,buf,1976
Jim Ringo,Head Coach,3-11-0,buf,1977
Kay Dalton,Receivers,3-11-0,buf,1977
Richie McCabe,Defensive Coordinator,3-11-0,buf,1977
Ray Prochaska,Offensive Coordinator,3-11-0,buf,1978
Chuck Knox,Head Coach,5-11-0,buf,1978
Steve Moore,Assistant,5-11-0,buf,1978
Kay Stephenson,Quarterbacks,5-11-0,buf,1978
Tom Catlin,Defensive Coordinator,5-11-0,buf,1978
Chuck Knox,Head Coach,7-9-0,buf,1979
Ray Prochaska,Offensive Coordinator,7-9-0,buf,1979
Steve Moore,Assistant,7-9-0,buf,1979
Kay Stephenson,Quarterbacks,7-9-0,buf,1979
Tom Catlin,Defensive Coordinator,7-9-0,buf,1979
Ray Prochaska,Offensive Coordinator,7-9-0,buf,1980
Chuck Knox,Head Coach,11-5-0,buf,1980
Steve Moore,Assistant,11-5-0,buf,1980
Kay Stephenson,Quarterbacks,11-5-0,buf,1980
Tom Catlin,Defensive Coordinator,11-5-0,buf,1980
Tom Catlin,Defensive Coordinator,11-5-0,buf,1981
Ray Prochaska,Offensive Coordinator,11-5-0,buf,1981
Chuck Knox,Head Coach,10-6-0,buf,1981
Chick Harris,Offensive Backs,10-6-0,buf,1981
Chick Harris,Offensive Backs,10-6-0,buf,1982
Ray Prochaska,Offensive Coordinator,10-6-0,buf,1982
Tom Catlin,Defensive Coordinator,10-6-0,buf,1982
Chuck Knox,Head Coach,4-5-0,buf,1982
Bob Zeman,Defensive Coordinator,4-5-0,buf,1983
Milt Jackson,Wide Receivers,4-5-0,buf,1983
Don Lawrence,Defensive Line,4-5-0,buf,1983
Perry Moss,Offensive Assistant,4-5-0,buf,1983
Kay Stephenson,Head Coach,8-8-0,buf,1983
John Becker,Quarterbacks,8-8-0,buf,1984
Don Lawrence,Defensive Coordinator,8-8-0,buf,1984
Kay Stephenson,Head Coach,2-14-0,buf,1984
Jim Ringo,Offensive Coordinator,2-14-0,buf,1985
Kay Stephenson,Head Coach,0-4-0,buf,1985
Hank Bullough,Defensive Coordinator,0-4-0,buf,1985
Kay Dalton,Quarterbacks,0-4-0,buf,1985
Dick Jauron,Defensive Assistant,0-4-0,buf,1985
Monte Kiffin,Linebackers,0-4-0,buf,1985
Jim Ringo,Offensive Coordinator,0-4-0,buf,1986
Ted Cottrell,Defensive Line,0-4-0,buf,1986
Joe Faragalli,Tight Ends,0-4-0,buf,1986
Herb Paterra,Defensive Coordinator,0-4-0,buf,1986
Hank Bullough,Head Coach,2-7-0,buf,1986
Jim Ringo,Offensive Coordinator,2-7-0,buf,1987
Marv Levy,Head Coach,7-8-0,buf,1987
Ted Cottrell,Defensive Line,7-8-0,buf,1987
Ted Tollner,Wide Receivers,7-8-0,buf,1987
Walt Corey,Defensive Coordinator,7-8-0,buf,1987
Jim Ringo,Offensive Coordinator,7-8-0,buf,1988
Ted Cottrell,Defensive Line,7-8-0,buf,1988
Ted Tollner,Wide Receivers,7-8-0,buf,1988
Walt Corey,Defensive Coordinator,7-8-0,buf,1988
Marv Levy,Head Coach,12-4-0,buf,1988
Ted Marchibroda,Offensive Coordinator,12-4-0,buf,1989
Marv Levy,Head Coach,9-7-0,buf,1989
Tom Bresnahan,Offensive Line,9-7-0,buf,1989
Ted Cottrell,Defensive Line,9-7-0,buf,1989
Nick Nicolau,Wide Receivers,9-7-0,buf,1989
Walt Corey,Defensive Coordinator,9-7-0,buf,1989
Ted Marchibroda,Offensive Coordinator,9-7-0,buf,1990
Tom Bresnahan,Offensive Line,9-7-0,buf,1990
Don Lawrence,Tight Ends,9-7-0,buf,1990
Nick Nicolau,Wide Receivers,9-7-0,buf,1990
Walt Corey,Defensive Coordinator,9-7-0,buf,1990
Marv Levy,Head Coach,13-3-0,buf,1990
Ted Marchibroda,Offensive Coordinator,13-3-0,buf,1991
Tom Bresnahan,Offensive Line,13-3-0,buf,1991
Don Lawrence,Tight Ends,13-3-0,buf,1991
Nick Nicolau,Wide Receivers,13-3-0,buf,1991
Walt Corey,Defensive Coordinator,13-3-0,buf,1991
Marv Levy,Head Coach,13-3-0,buf,1991
Tom Bresnahan,Offensive Coordinator,13-3-0,buf,1992
Marv Levy,Head Coach,11-5-0,buf,1992
Walt Corey,Defensive Coordinator,11-5-0,buf,1992
Don Lawrence,Tight Ends,11-5-0,buf,1992
Jim Shofner,Quarterbacks,11-5-0,buf,1992
Tom Bresnahan,Offensive Coordinator,11-5-0,buf,1993
Don Lawrence,Tight Ends,11-5-0,buf,1993
Jim Shofner,Quarterbacks,11-5-0,buf,1993
Walt Corey,Defensive Coordinator,11-5-0,buf,1993
Marv Levy,Head Coach,12-4-0,buf,1993
Tom Bresnahan,Offensive Coordinator,12-4-0,buf,1994
Don Lawrence,Tight Ends,12-4-0,buf,1994
Jim Shofner,Quarterbacks,12-4-0,buf,1994
Walt Corey,Defensive Coordinator,12-4-0,buf,1994
Marv Levy,Head Coach,7-9-0,buf,1994
Tom Bresnahan,Offensive Coordinator,7-9-0,buf,1995
Marv Levy,Head Coach,10-6-0,buf,1995
Ted Cottrell,Linebackers,10-6-0,buf,1995
Don Lawrence,Tight Ends,10-6-0,buf,1995
Jim Shofner,Quarterbacks,10-6-0,buf,1995
Wade Phillips,Defensive Coordinator,10-6-0,buf,1995
Tom Bresnahan,Offensive Coordinator,10-6-0,buf,1996
Marv Levy,Head Coach,10-6-0,buf,1996
Ted Cottrell,Linebackers,10-6-0,buf,1996
Don Lawrence,Tight Ends,10-6-0,buf,1996
Jim Shofner,Quarterbacks,10-6-0,buf,1996
Wade Phillips,Defensive Coordinator,10-6-0,buf,1996
Marv Levy,Head Coach,6-10-0,buf,1997
Tom Bresnahan,Offensive Line,6-10-0,buf,1997
Ted Cottrell,Linebackers,6-10-0,buf,1997
Don Lawrence,Tight Ends,6-10-0,buf,1997
Wade Phillips,Defensive Coordinator,6-10-0,buf,1997
Dan Henning,Offensive Coordinator,6-10-0,buf,1997
John Levra,Defensive Line,6-10-0,buf,1998
Turk Schonert,Quarterbacks,6-10-0,buf,1998
Joe Pendry,Offensive Coordinator,6-10-0,buf,1998
Ted Cottrell,Defensive Coordinator,6-10-0,buf,1998
Wade Phillips,Head Coach,10-6-0,buf,1998
John Levra,Defensive Line,10-6-0,buf,1999
Turk Schonert,Quarterbacks,10-6-0,buf,1999
Joe Pendry,Offensive Coordinator,10-6-0,buf,1999
Wade Phillips,Head Coach,11-5-0,buf,1999
Ted Cottrell,Defensive Coordinator,11-5-0,buf,1999
Joe Pendry,Offensive Coordinator,11-5-0,buf,2000
Ronnie Jones,Special Teams,11-5-0,buf,2000
John Levra,Defensive Line,11-5-0,buf,2000
Turk Schonert,Quarterbacks,11-5-0,buf,2000
Ted Cottrell,Defensive Coordinator,11-5-0,buf,2000
Wade Phillips,Head Coach,8-8-0,buf,2000
Gregg Williams,Head Coach,3-13-0,buf,2001
Jerry Gray,Defensive Coordinator,3-13-0,buf,2001
Steve Fairchild,Running Backs,3-13-0,buf,2001
John Levra,Defensive Line,3-13-0,buf,2001
Mike Sheppard,Offensive Coordinator,3-13-0,buf,2001
Kevin Gilbride,Offensive Coordinator,3-13-0,buf,2002
Steve Fairchild,Running Backs,3-13-0,buf,2002
John Levra,Defensive Line,3-13-0,buf,2002
Jerry Gray,Defensive Coordinator,3-13-0,buf,2002
Gregg Williams,Head Coach,8-8-0,buf,2002
Don Blackmon,Linebackers,8-8-0,buf,2003
Dick LeBeau,Assistant Head Coach,8-8-0,buf,2003
Les Steckel,Running Backs,8-8-0,buf,2003
Kevin Gilbride,Offensive Coordinator,8-8-0,buf,2003
Jerry Gray,Defensive Coordinator,8-8-0,buf,2003
Gregg Williams,Head Coach,6-10-0,buf,2003
Don Blackmon,Linebackers,6-10-0,buf,2004
Mike Mularkey,Head Coach,9-7-0,buf,2004
Tom Clements,Offensive Coordinator,9-7-0,buf,2004
Jerry Gray,Defensive Coordinator,9-7-0,buf,2004
Mike Mularkey,Head Coach,5-11-0,buf,2005
Don Blackmon,Linebackers,5-11-0,buf,2005
Tom Clements,Offensive Coordinator,5-11-0,buf,2005
Jerry Gray,Defensive Coordinator,5-11-0,buf,2005
Perry Fewell,Defensive Coordinator,5-11-0,buf,2006
Steve Fairchild,Offensive Coordinator,5-11-0,buf,2006
Turk Schonert,Quarterbacks,5-11-0,buf,2006
Eric Studesville,Running Backs,5-11-0,buf,2006
Van Pelt,Quality Control,5-11-0,buf,2006
Dick Jauron,Head Coach,7-9-0,buf,2006
Perry Fewell,Defensive Coordinator,7-9-0,buf,2007
Steve Fairchild,Offensive Coordinator,7-9-0,buf,2007
Turk Schonert,Quarterbacks,7-9-0,buf,2007
Eric Studesville,Running Backs,7-9-0,buf,2007
Van Pelt,Quality Control,7-9-0,buf,2007
Dick Jauron,Head Coach,7-9-0,buf,2007
Perry Fewell,Defensive Coordinator,7-9-0,buf,2008
Turk Schonert,Offensive Coordinator,7-9-0,buf,2008
Nathaniel Hackett,Offensive Quality Control,7-9-0,buf,2008
Eric Studesville,Running Backs,7-9-0,buf,2008
Van Pelt,Quarterbacks,7-9-0,buf,2008
Dick Jauron,Head Coach,7-9-0,buf,2008
Perry Fewell,Head Coach,3-4-0,buf,2009
Nathaniel Hackett,Offensive Quality Control,3-4-0,buf,2009
Bob Sanders,Defensive Line,3-4-0,buf,2009
Eric Studesville,Running Backs,3-4-0,buf,2009
Perry Fewell,Defensive Coordinator,3-4-0,buf,2009
Alex Van Pelt,Offensive Coordinator,3-4-0,buf,2009
George Edwards,Defensive Coordinator,3-4-0,buf,2010
Chan Gailey,Head Coach,4-12-0,buf,2010
Curtis Modkins,Offensive Coordinator,4-12-0,buf,2010
Bob Sanders,Outside Linebackers,4-12-0,buf,2010
Giff Smith,Defensive Line,4-12-0,buf,2010
George Edwards,Defensive Coordinator,4-12-0,buf,2011
Curtis Modkins,Offensive Coordinator,4-12-0,buf,2011
Bob Sanders,Outside Linebackers,4-12-0,buf,2011
Giff Smith,Defensive Line,4-12-0,buf,2011
Dave Wannstedt,Assistant Head Coach/Linebackers,4-12-0,buf,2011
Chan Gailey,Head Coach,6-10-0,buf,2011
Curtis Modkins,Offensive Coordinator,6-10-0,buf,2012
Dave Wannstedt,Defensive Coordinator,6-10-0,buf,2012
Bob Sanders,Linebackers,6-10-0,buf,2012
Giff Smith,Defensive Line,6-10-0,buf,2012
Chan Gailey,Head Coach,6-10-0,buf,2012
Nathaniel Hackett,Offensive Coordinator,6-10-0,buf,2013
Donnie Henderson,Defensive Backs,6-10-0,buf,2013
Jim ONeil,Linebackers,6-10-0,buf,2013
Anthony Weaver,Defensive Line,6-10-0,buf,2013
Mike Pettine,Defensive Coordinator,6-10-0,buf,2013
Doug Marrone,Head Coach,6-10-0,buf,2013
Doug Marrone,Head Coach,9-7-0,buf,2014
Nathaniel Hackett,Offensive Coordinator,9-7-0,buf,2014
Todd Downing,Quarterbacks,9-7-0,buf,2014
Jim Schwartz,Defensive Coordinator,9-7-0,buf,2014
Greg Roman,Offensive Coordinator,9-7-0,buf,2015
Dennis Thurman,Defensive Coordinator,9-7-0,buf,2015
Rex Ryan,Head Coach,8-8-0,buf,2015
Donnie Henderson,Defensive Backs,8-8-0,buf,2015
Anthony Lynn,Offensive Coordinator,8-8-0,buf,2016
Greg Roman,Offensive Coordinator,8-8-0,buf,2016
Anthony Lynn,Head Coach,0-1-0,buf,2016
Donnie Henderson,Defensive Backs,0-1-0,buf,2016
Dennis Thurman,Defensive Coordinator,0-1-0,buf,2016
Bob Babich,Linebackers,0-1-0,buf,2017
Rick Dennison,Offensive Coordinator,0-1-0,buf,2017
Sean McDermott,Head Coach,9-7-0,buf,2017
Leslie Frazier,Defensive Coordinator,9-7-0,buf,2017
Sean McDermott,Head Coach,6-10-0,buf,2018
Leslie Frazier,Defensive Coordinator,6-10-0,buf,2018
Bob Babich,Linebackers,6-10-0,buf,2018
Brian Daboll,Offensive Coordinator,6-10-0,buf,2018
Leslie Frazier,Defensive Coordinator,6-10-0,buf,2019
Sean McDermott,Head Coach,10-6-0,buf,2019
Brian Daboll,Offensive Coordinator,10-6-0,buf,2019
Bob Babich,Linebackers,10-6-0,buf,2019
Leslie Frazier,Defensive Coordinator,10-6-0,buf,2020
Sean McDermott,Head Coach,13-3-0,buf,2020
Bob Babich,Linebackers,13-3-0,buf,2020
Brian Daboll,Offensive Coordinator,13-3-0,buf,2020
Sean McDermott,Head Coach,11-6-0,buf,2021
Leslie Frazier,Defensive Coordinator,11-6-0,buf,2021
Bob Babich,Linebackers,11-6-0,buf,2021
Brian Daboll,Offensive Coordinator,11-6-0,buf,2021
Bobby Babich,Linebackers,11-6-0,buf,2022
Ken Dorsey,Offensive Coordinator,11-6-0,buf,2022
Sean McDermott,Head Coach,13-3-0,buf,2022
Leslie Frazier,Defensive Coordinator,13-3-0,buf,2022
Sean McDermott,Head Coach,11-6-0,buf,2023
Joe Brady,Offensive Coordinator,11-6-0,buf,2023
Ken Dorsey,Offensive Coordinator,11-6-0,buf,2023
Bobby Babich,Linebackers,11-6-0,buf,2023
Don Breaux,Tight Ends,11-6-0,car,1995
Joe Pendry,Offensive Coordinator,11-6-0,car,1995
Vic Fangio,Defensive Coordinator,11-6-0,car,1995
Dom Capers,Head Coach,7-9-0,car,1995
Dom Capers,Head Coach,12-4-0,car,1996
Don Breaux,Tight Ends,12-4-0,car,1996
Joe Pendry,Offensive Coordinator,12-4-0,car,1996
Vic Fangio,Defensive Coordinator,12-4-0,car,1996
Joe Pendry,Offensive Coordinator,12-4-0,car,1997
Don Breaux,Tight Ends,12-4-0,car,1997
Vic Fangio,Defensive Coordinator,12-4-0,car,1997
Dom Capers,Head Coach,7-9-0,car,1997
Don Breaux,Tight Ends,7-9-0,car,1998
Dom Capers,Head Coach,4-12-0,car,1998
Gil Haskell,Offensive Coordinator,4-12-0,car,1998
Vic Fangio,Defensive Coordinator,4-12-0,car,1998
Gil Haskell,Offensive Coordinator,4-12-0,car,1999
John Marshall,Defensive Coordinator,4-12-0,car,1999
George Seifert,Head Coach,8-8-0,car,1999
Don Breaux,Tight Ends,8-8-0,car,1999
George Seifert,Head Coach,7-9-0,car,2000
Bill Musgrave,Offensive Coordinator,7-9-0,car,2000
Richard Williamson,Offensive Coordinator,7-9-0,car,2000
John Marshall,Defensive Coordinator,7-9-0,car,2000
Don Breaux,Tight Ends,7-9-0,car,2000
Richard Williamson,Offensive Coordinator,7-9-0,car,2001
George Seifert,Head Coach,1-15-0,car,2001
John Marshall,Defensive Coordinator,1-15-0,car,2001
Don Breaux,Tight Ends,1-15-0,car,2001
Don Breaux,Tight Ends,1-15-0,car,2002
Jack Del Rio,Defensive Coordinator,1-15-0,car,2002
John Fox,Head Coach,7-9-0,car,2002
Dan Henning,Offensive Coordinator,7-9-0,car,2002
